Dataset,Modelo,Explicador,Node,Mean Fidelity,Std Fidelity,Min Fidelity,Max Fidelity
Cora,GAT,GraphLIME,561.0,0.0005216201146443685,0.0002637394304378765,0.0002587437629699707,0.0008822083473205566
Cora,GAT,GraphLIME,102.0,0.0,0.0,0.0,0.0
Cora,GAT,GraphLIME,1450.0,0.0037563443183898926,0.003625704205303822,0.000937044620513916,0.008875072002410889
Cora,GAT,GraphLIME,1300.0,0.0,0.0,0.0,0.0
Cora,GAT,GraphLIME,1184.0,0.006617367267608643,0.0034693103952733863,0.0035625696182250977,0.011469721794128418
Cora,GAT,GraphLIME,730.0,-0.009417414665222168,0.004920093411082589,-0.015754342079162598,-0.0037602782249450684
Cora,GAT,GraphLIME,513.0,0.0,0.0,0.0,0.0
Cora,GAT,GraphLIME,423.0,0.0,0.0,0.0,0.0
Cora,GAT,GraphLIME,2242.0,-0.0001293619473775228,0.0006767921027234629,-0.001042187213897705,0.000576317310333252
Cora,GAT,GraphLIME,130.0,2.505381902058919e-05,3.543145064815825e-05,0.0,7.516145706176758e-05
Cora,GAT,GraphLIME,122.0,-2.7815500895182293e-07,5.6195798014525375e-08,-3.5762786865234375e-07,-2.384185791015625e-07
Cora,GAT,GraphLIME,457.0,0.0005830725034077963,0.0009261751312494008,-0.00013846158981323242,0.0018905401229858398
Cora,GAT,GraphLIME,1162.0,0.005999584992726644,0.005429215857097125,0.0005634427070617676,0.013413488864898682
Cora,GAT,GraphLIME,1231.0,0.0,0.0,0.0,0.0
Cora,GAT,GraphLIME,108.0,-3.24249267578125e-05,1.8588241486096028e-05,-5.7578086853027344e-05,-1.3232231140136719e-05
Cora,GAT,GraphLIME,1054.0,0.0005473693211873373,0.0006501268847963483,8.058547973632812e-05,0.0014667510986328125
Cora,GAT,GraphLIME,2232.0,0.0,0.0,0.0,0.0
Cora,GAT,GraphLIME,1169.0,0.0,0.0,0.0,0.0
Cora,GAT,GraphLIME,2401.0,9.228785832722981e-05,8.663088066037407e-05,2.09808349609375e-05,0.0002142190933227539
Cora,GAT,GraphLIME,1467.0,0.0003273884455362956,0.0001581301402839403,0.00015932321548461914,0.0005391836166381836
Cora,GraphSAGE,GraphLIME,566.0,-0.02335635821024577,0.01694456340057932,-0.03967541456222534,0.0
Cora,GraphSAGE,GraphLIME,102.0,5.984306335449219e-05,8.463087180987522e-05,0.0,0.00017952919006347656
Cora,GraphSAGE,GraphLIME,1442.0,0.08446996410687764,0.02322875469316199,0.06290885806083679,0.1167144775390625
Cora,GraphSAGE,GraphLIME,1286.0,0.0,0.0,0.0,0.0
Cora,GraphSAGE,GraphLIME,1171.0,0.004992047945658366,0.0070598219087668074,0.0,0.014976143836975098
Cora,GraphSAGE,GraphLIME,720.0,1.3073285420735678e-05,3.253639646947444e-05,-1.8596649169921875e-05,5.7816505432128906e-05
Cora,GraphSAGE,GraphLIME,513.0,0.0,0.0,0.0,0.0
Cora,GraphSAGE,GraphLIME,426.0,0.0008946657180786133,0.0012429774707534197,0.0,0.002652406692504883
Cora,GraphSAGE,GraphLIME,2220.0,9.826819101969401e-05,0.00013897220848992125,0.0,0.00029480457305908203
